id,name,category,type,price
1,クリアモルト　350ml,drink,alcohols,137
2,クリアモルト　500ml,drink,alcohols,195
3,クリアモルト糖質70%オフ　350ml,drink,alcohols,137
4,クリアモルト糖質70%オフ　500ml,drink,alcohols,195
5,ドンロメロ　カヴァロゼ　375ml,drink,alcohols,778
6,バルパラレッド　ペットボトル,drink,alcohols,448
7,バルパラホワイト　ペットボトル,drink,alcohols,448
8,ステラパルヴス　500ml,drink,alcohols,848
9,メルシャン　シャトー・メルシャン　萌黄　500ml,drink,alcohols,1188
10,北海道ワイン　おたるナイヤガラ　500ml,drink,alcohols,898
11,アサヒビール　サンタ・ヘレナ・アルパカ・カベルネ・メルロー　187ml,drink,alcohols,248
12,アサヒビール　サンタヘレナ・アルパカ・シャルドネ・セミヨン　187ml,drink,alcohols,248
13,メルシャン　カッシェロ・デル・ディアブロ　インテンスレッド,drink,alcohols,1526
14,メルシャン　ファミーゴ　スパークリング,drink,alcohols,548
15,メルシャン　シャトーメルシャン藍茜,drink,alcohols,1188
16,メルシャン　ファミーゴ　カルメネール&カベルネ・ソーヴィニヨン,drink,alcohols,598
17,メルシャン　ファミーゴ　シャルドネ&ペドロ・ヒメネス　250ml,drink,alcohols,298
18,スマイル　コノスル　ピノ・ノワール　リミテッド・エディション,drink,alcohols,880
19,メルシャン　ファミーゴ　カベルネ・ソーヴィニヨン&シラーズ　250ml,drink,alcohols,298
20,スマイル　コノスル　カベルネ・ソーヴィニヨン　ビシクレタ　187ml,drink,alcohols,298
21,スマイル　コノスル　シャルドネ　ビシクレタ　187ml,drink,alcohols,298
22,プレミアムレインボーロリキート　赤,drink,alcohols,980
23,ドメーヌ・アラン・ブリュモン　ル・プティ・アルブージェ,drink,alcohols,1078
24,ベラムール　プレミアムスパークリングワイン,drink,alcohols,880
25,ジスト　グランレゼルバ,drink,alcohols,980
26,シトラン　ボルドー,drink,alcohols,1480
27,シャトー・デ・セラファン,drink,alcohols,998
28,アラス・トレ　キャンティ・リゼルヴァ　DOCG,drink,alcohols,1089
29,シャトー・デュ・ラゴン,drink,alcohols,798
30,コノスル　マルベック　リミテッド・エディション,drink,alcohols,880
31,サントリー　シャンテール　スパークリング　ロゼ,drink,alcohols,302
32,サントリー　シャンテール　スパークリング　ブラン,drink,alcohols,302
33,メルシャン　ファミーゴ　シャルドネ&ペドロ・ヒメネス　750ml,drink,alcohols,598
34,メルシャン　ファミーゴ　カベルネ・ソーヴィニヨン&シラーズ　750ml,drink,alcohols,598
35,酸化防止剤無添加　赤ワイン　1800ml,drink,alcohols,1008
36,レインボーロリキート　カベルネソーヴィニヨン,drink,alcohols,448
37,レインボーロリキート　シャルドネ,drink,alcohols,448
38,タヴェルネッロ　ピッコロ　ロッソ　250ml,drink,alcohols,288
39,タヴェルネッロ　ピッコロ　ビアンコ　250ml,drink,alcohols,288
40,ロスヴァスコスカベルネソーヴィニヨン赤　500ml,drink,alcohols,1005
41,ロスヴァスコスソーヴィニヨンブラン白　500ml,drink,alcohols,1005
42,デスパーニュ　赤,drink,alcohols,1218
43,デスパーニュ　白,drink,alcohols,1218
44,酸化防止剤無添加赤ワインペット　720ml,drink,alcohols,518
45,酸化防止剤無添加白ワインペット　720ml,drink,alcohols,518
46,フェスティバル　ペットボトル　赤,drink,alcohols,415
47,フェスティバル　ペットボトル　白,drink,alcohols,415
48,クルール　ド　シュッドカベルネ,drink,alcohols,510
49,クルール　ド　シュッドシャルドネ,drink,alcohols,510
50,中埜酒造　みかんのお酒プレミアム　300ml,drink,alcohols,550
51,中埜酒造　ぶどうのお酒プレミアム　300ml,drink,alcohols,550
52,中埜酒造　南高梅100%梅酒　2000ML,drink,alcohols,833
53,隼天バッグインボックス　2L,drink,alcohols,2380
54,隼天　700ML,drink,alcohols,1078
55,芋焼酎25°パック　1800ml,drink,alcohols,1441
56,一ノ蔵　辛口本醸造　720ml,drink,alcohols,979
57,吉乃川　酒蔵の淡雪スパークリング,drink,alcohols,327
58,朝日山　純米吟醸　300ml,drink,alcohols,572
59,立山酒造　純米吟醸立山　720ML,drink,alcohols,1205
60,上撰　鬼ころし　900ml,drink,alcohols,460
61,上撰　鬼ころし　1800ml,drink,alcohols,789
62,月桂冠　純米酒パック　900ml,drink,alcohols,589
63,浦霞　純米酒　300ml,drink,alcohols,594
64,朝日山　純米酒　720ml,drink,alcohols,1100
65,純米酒パック　1800ml,drink,alcohols,980
66,六甲山麓鬼ころしパック,drink,alcohols,101
67,六甲山麓鬼ころししぼりたて　パック,drink,alcohols,101
68,合同酒精　焼酎処25°ペット　4L,drink,alcohols,1831
69,合同酒精　焼酎処20°ペット　4L,drink,alcohols,1647
70,芋焼酎25°パック　900ml,drink,alcohols,910
71,麦焼酎25°パック　1800ML,drink,alcohols,1130
72,麦焼酎25°パック　900ML,drink,alcohols,767
73,焼酎20°カップ,drink,alcohols,162
74,焼酎25°カップ,drink,alcohols,184
75,焼酎処25°ペット　2.7L,drink,alcohols,1309
76,焼酎処20°ペット　2.7L,drink,alcohols,1130
77,宝焼酎の緑茶割り　335ml,drink,alcohols,155
78,宝焼酎の緑茶割り　480ml,drink,alcohols,207
79,麦のやすらぎ25°麦,drink,alcohols,986
80,芋のやすらぎ25°芋,drink,alcohols,1017
81,上品な甘みとコク本みりん,drink,alcohols,250
82,日本盛　サケボトル　しぼりたて　大吟醸　200ml,drink,alcohols,303
83,クリート　オカシナ学習帳ぐみ　れもん,food,snack,162
84,パイン　スモモアメ,food,snack,178
85,クリート　オカシナ学習帳ちょこれーと,food,snack,162
86,豊かな海鮮の旨み7種の海鮮ミックス,food,snack,108
87,UHA味覚糖　キャンディフレンズBT21,food,snack,308
88,UHA味覚糖　e-maのど飴BT21フルーツミックス,food,snack,298
89,カバヤ　タフグミミニ,food,snack,149
90,菓楽　アンチョビーナ国産ちりめん＆ミックスナッツ,food,snack,216
91,菓楽　アンチョビーナ国産ちりめん＆ドライフルーツ,food,snack,216
92,堅揚げのポテトチップス絶品うすしお味,food,snack,138
93,こだわりの手割り醤油せん,food,snack,128
94,全農食品　和歌山県北山村産じゃばらピールドライフルーツ,food,snack,230
95,山芳　ウマ娘プリティーダービーチップス,food,snack,248
96,えんどう豆スナック濃厚ガーリックバター味,food,snack,108
97,素材の甘みいもけんぴ,food,snack,108
98,全農食品　長野県産りんごひとくちドライフルーツ,food,snack,230
99,ロッテ　アーモンドチョコレートくちどけティラミス,food,snack,270
100,ツンとした辛さがクセになるわさび柿ピー,food,snack,138
101,シビれる辛さがクセになる麻辣花生,food,snack,138
102,8種類のおいしさ和菓子ミックス,food,snack,298
103,亀田　技のこだ割り　梅味,food,snack,140
104,2種ミックスストロベリーチョコ,food,snack,298
105,練乳ゼリー入りひとくち苺チョコ,food,snack,138
106,なめらかな口どけいちごプリンチョコ,food,snack,149
107,程よい酸味と甘さいちご&ミルククッキー,food,snack,278
108,明治　メルティーキッスとろけるホワイトパウチ ,food,snack,162
109,やみつきポテトうまみ塩味,food,snack,158
110,驚きのくちどけまるでバターチョコ,food,snack,158
111,かぶりつきカルパス　プレーン,food,snack,103
112,こんがり揚げたカリッとぎんなん,food,snack,180
113,こんがり揚げたカリッとにんにく,food,snack,158
114,かぶりつきカルパス　辛口,food,snack,103
115,キャラメル仕立て3種のミックスナッツチョコ,food,snack,250
116,2つの美味しさフィッシュ&チップス風スナック,food,snack,138
117,すっきりとした酸味ひとくちカリカリ梅,food,snack,158
118,しっとり食感ガトーショコラ風チョコ,food,snack,138
119,ピンクと白が華やかな2層のストロベリーチョコ,food,snack,298
120,バターの芳醇な香りご褒美バターパイ,food,snack,168
121,至福のザクザク食感ご褒美ミルフィーユ,food,snack,168
122,厳選10種のおつまみミックス,food,snack,108
123,素材の旨み皮つきさきいか　大袋,food,snack,321
124,風味が豊かなチーズ鱈(R)　大袋,food,snack,321
